
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 
Info: Conformance window automatically enabled. Adding 4 lumal pel horizontally

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:0 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:1 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:1) MRL:1 MIP:0 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:5 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 3(intra) 4(inter) ISPFast:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:2 RPR:0 TemporalFilter:4/0 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 19:49:06 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 31 )       7536 bits [Y 36.1323 dB    U 44.1358 dB    V 44.9404 dB] [ET     3 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        488 bits [Y 34.5974 dB    U 43.4775 dB    V 44.7261 dB] [ET     1 ] [L0 13c 12 8 0] [L1]
POC   15 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        288 bits [Y 34.3963 dB    U 43.4744 dB    V 44.6997 dB] [ET     1 ] [L0 14c 13 8 0] [L1]
POC   16 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )       1064 bits [Y 35.7014 dB    U 43.5413 dB    V 44.6123 dB] [ET     1 ] [L0 15c 14 8 0] [L1]
POC   17 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        224 bits [Y 35.3989 dB    U 43.5517 dB    V 44.6698 dB] [ET     0 ] [L0 16c 15 8 0] [L1]
POC   18 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        288 bits [Y 35.2325 dB    U 43.6037 dB    V 44.8247 dB] [ET     1 ] [L0 17c 16 8 0] [L1]
POC   19 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        312 bits [Y 34.8223 dB    U 43.5918 dB    V 44.8508 dB] [ET     1 ] [L0 18c 16 8 0] [L1]
POC   20 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        528 bits [Y 34.7628 dB    U 43.6435 dB    V 44.9582 dB] [ET     1 ] [L0 19c 16 8 0] [L1]
POC   21 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        408 bits [Y 34.3698 dB    U 43.6631 dB    V 44.9155 dB] [ET     1 ] [L0 20c 16 8 0] [L1]
POC   22 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        520 bits [Y 34.5868 dB    U 43.5285 dB    V 45.0524 dB] [ET     1 ] [L0 21c 16 8 0] [L1]
POC   23 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        488 bits [Y 34.6093 dB    U 43.7755 dB    V 45.0929 dB] [ET     1 ] [L0 22c 16 8 0] [L1]
POC   24 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )       1056 bits [Y 35.7932 dB    U 43.9781 dB    V 45.0262 dB] [ET     1 ] [L0 23c 16 8 0] [L1]
POC   25 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        424 bits [Y 35.1066 dB    U 44.0073 dB    V 45.0124 dB] [ET     1 ] [L0 24c 16 8 0] [L1]
POC   26 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        472 bits [Y 35.0664 dB    U 43.9474 dB    V 44.8373 dB] [ET     1 ] [L0 25c 24 16 8] [L1]
POC   27 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        352 bits [Y 34.7875 dB    U 43.9479 dB    V 44.8265 dB] [ET     1 ] [L0 26c 24 16 8] [L1]
POC   28 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        464 bits [Y 34.9187 dB    U 43.9614 dB    V 44.6286 dB] [ET     1 ] [L0 27c 24 16 8] [L1]
POC   29 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        296 bits [Y 34.7665 dB    U 44.0431 dB    V 44.5703 dB] [ET     1 ] [L0 28c 24 16 8] [L1]
POC   30 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        376 bits [Y 34.9422 dB    U 43.8555 dB    V 44.6154 dB] [ET     1 ] [L0 29c 24 16 8] [L1]
POC   31 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        304 bits [Y 34.7457 dB    U 43.9756 dB    V 44.7674 dB] [ET     1 ] [L0 30c 24 16 8] [L1]
POC   32 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )       1152 bits [Y 35.7222 dB    U 44.0977 dB    V 44.9536 dB] [ET     1 ] [L0 31c 24 16 8] [L1]
POC   33 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        384 bits [Y 35.2418 dB    U 44.0594 dB    V 44.9374 dB] [ET     1 ] [L0 32c 24 16 8] [L1]
POC   34 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        432 bits [Y 35.1356 dB    U 43.7370 dB    V 44.9505 dB] [ET     1 ] [L0 33c 32 24 16] [L1]
POC   35 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        432 bits [Y 34.7134 dB    U 43.6118 dB    V 44.8977 dB] [ET     1 ] [L0 34c 32 24 16] [L1]
POC   36 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        472 bits [Y 34.7597 dB    U 43.5734 dB    V 44.9377 dB] [ET     1 ] [L0 35c 32 24 16] [L1]
POC   37 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        536 bits [Y 34.8799 dB    U 43.6211 dB    V 44.8631 dB] [ET     1 ] [L0 36c 32 24 16] [L1]
POC   38 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        488 bits [Y 34.7709 dB    U 43.5489 dB    V 45.0011 dB] [ET     1 ] [L0 37c 32 24 16] [L1]
POC   39 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        384 bits [Y 34.4620 dB    U 43.5008 dB    V 44.8473 dB] [ET     1 ] [L0 38c 32 24 16] [L1]
POC   40 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )       1240 bits [Y 35.6744 dB    U 43.7555 dB    V 44.9542 dB] [ET     1 ] [L0 39c 32 24 16] [L1]
POC   41 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        400 bits [Y 35.0252 dB    U 43.8713 dB    V 44.9831 dB] [ET     1 ] [L0 40c 32 24 16] [L1]
POC   42 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        496 bits [Y 35.0420 dB    U 43.8514 dB    V 44.7784 dB] [ET     1 ] [L0 41c 40 32 24] [L1]
POC   43 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        328 bits [Y 34.8510 dB    U 43.8149 dB    V 44.7286 dB] [ET     1 ] [L0 42c 40 32 24] [L1]
POC   44 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        280 bits [Y 34.9677 dB    U 43.8100 dB    V 44.7994 dB] [ET     1 ] [L0 43c 40 32 24] [L1]
POC   45 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        224 bits [Y 34.8485 dB    U 43.7899 dB    V 44.7666 dB] [ET     1 ] [L0 44c 40 32 24] [L1]
POC   46 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        280 bits [Y 34.6945 dB    U 43.8407 dB    V 44.8026 dB] [ET     1 ] [L0 45c 40 32 24] [L1]
POC   47 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        304 bits [Y 34.7089 dB    U 43.8303 dB    V 44.9340 dB] [ET     1 ] [L0 46c 40 32 24] [L1]
POC   48 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )        936 bits [Y 35.6195 dB    U 43.8518 dB    V 44.9255 dB] [ET     1 ] [L0 47c 40 32 24] [L1]
POC   49 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        360 bits [Y 35.0497 dB    U 43.8613 dB    V 45.0879 dB] [ET     1 ] [L0 48c 40 32 24] [L1]
POC   50 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        424 bits [Y 34.7460 dB    U 43.7681 dB    V 45.1431 dB] [ET     1 ] [L0 49c 48 40 32] [L1]
POC   51 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        440 bits [Y 34.4784 dB    U 43.8403 dB    V 45.0470 dB] [ET     1 ] [L0 50c 48 40 32] [L1]
POC   52 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        552 bits [Y 34.8311 dB    U 43.8566 dB    V 44.9980 dB] [ET     1 ] [L0 51c 48 40 32] [L1]
POC   53 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        424 bits [Y 34.7178 dB    U 43.9050 dB    V 44.9588 dB] [ET     1 ] [L0 52c 48 40 32] [L1]
POC   54 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        432 bits [Y 34.7135 dB    U 43.8299 dB    V 45.0901 dB] [ET     1 ] [L0 53c 48 40 32] [L1]
POC   55 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        432 bits [Y 34.8920 dB    U 43.9878 dB    V 44.9903 dB] [ET     1 ] [L0 54c 48 40 32] [L1]
POC   56 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )        920 bits [Y 35.7346 dB    U 44.1259 dB    V 45.0417 dB] [ET     1 ] [L0 55c 48 40 32] [L1]
POC   57 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        320 bits [Y 35.2640 dB    U 44.0523 dB    V 45.0310 dB] [ET     1 ] [L0 56c 48 40 32] [L1]
POC   58 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        272 bits [Y 35.0998 dB    U 44.0128 dB    V 44.9021 dB] [ET     0 ] [L0 57c 56 48 40] [L1]
POC   59 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        336 bits [Y 34.8946 dB    U 44.0268 dB    V 44.9019 dB] [ET     1 ] [L0 58c 56 48 40] [L1]
POC   60 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        376 bits [Y 34.9711 dB    U 43.9762 dB    V 44.8723 dB] [ET     1 ] [L0 59c 56 48 40] [L1]
POC   61 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        360 bits [Y 34.8573 dB    U 43.9020 dB    V 44.9203 dB] [ET     1 ] [L0 60c 56 48 40] [L1]
POC   62 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        520 bits [Y 35.1023 dB    U 43.7595 dB    V 44.9036 dB] [ET     1 ] [L0 61c 56 48 40] [L1]
POC   63 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        408 bits [Y 34.7519 dB    U 43.4577 dB    V 44.9019 dB] [ET     1 ] [L0 62c 56 48 40] [L1]
POC   64 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )       1248 bits [Y 35.6636 dB    U 43.6512 dB    V 45.0654 dB] [ET     1 ] [L0 63c 56 48 40] [L1]
POC   65 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        448 bits [Y 34.9813 dB    U 43.7471 dB    V 44.9917 dB] [ET     1 ] [L0 64c 56 48 40] [L1]
POC   66 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        504 bits [Y 34.8640 dB    U 43.7970 dB    V 44.9087 dB] [ET     1 ] [L0 65c 64 56 48] [L1]
POC   67 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        392 bits [Y 34.6994 dB    U 43.8629 dB    V 44.9449 dB] [ET     1 ] [L0 66c 64 56 48] [L1]
POC   68 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        488 bits [Y 34.8652 dB    U 43.8036 dB    V 44.8263 dB] [ET     1 ] [L0 67c 64 56 48] [L1]
POC   69 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        448 bits [Y 34.9253 dB    U 43.9108 dB    V 44.9281 dB] [ET     1 ] [L0 68c 64 56 48] [L1]
POC   70 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        416 bits [Y 35.0062 dB    U 43.9545 dB    V 44.8627 dB] [ET     1 ] [L0 69c 64 56 48] [L1]
POC   71 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        360 bits [Y 34.9396 dB    U 43.8786 dB    V 44.8308 dB] [ET     1 ] [L0 70c 64 56 48] [L1]
POC   72 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )        816 bits [Y 35.5991 dB    U 43.8417 dB    V 44.8225 dB] [ET     1 ] [L0 71c 64 56 48] [L1]
POC   73 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        192 bits [Y 35.2332 dB    U 43.8764 dB    V 44.8442 dB] [ET     0 ] [L0 72c 64 56 48] [L1]
POC   74 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        320 bits [Y 35.1813 dB    U 43.7626 dB    V 44.8648 dB] [ET     1 ] [L0 73c 72 64 56] [L1]
POC   75 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        400 bits [Y 35.0777 dB    U 43.9094 dB    V 44.8950 dB] [ET     1 ] [L0 74c 72 64 56] [L1]
POC   76 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        456 bits [Y 34.8349 dB    U 43.8561 dB    V 45.0043 dB] [ET     1 ] [L0 75c 72 64 56] [L1]
POC   77 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        464 bits [Y 34.6801 dB    U 43.8080 dB    V 45.0533 dB] [ET     1 ] [L0 76c 72 64 56] [L1]
POC   78 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        488 bits [Y 34.6642 dB    U 43.7226 dB    V 45.0079 dB] [ET     1 ] [L0 77c 72 64 56] [L1]
POC   79 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        488 bits [Y 34.5837 dB    U 43.6634 dB    V 45.1166 dB] [ET     1 ] [L0 78c 72 64 56] [L1]
POC   80 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )       1120 bits [Y 35.6901 dB    U 43.8553 dB    V 45.1511 dB] [ET     1 ] [L0 79c 72 64 56] [L1]
POC   81 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        408 bits [Y 35.2290 dB    U 43.8699 dB    V 44.9773 dB] [ET     1 ] [L0 80c 72 64 56] [L1]
POC   82 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        488 bits [Y 35.1867 dB    U 43.8677 dB    V 45.0212 dB] [ET     1 ] [L0 81c 80 72 64] [L1]
POC   83 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        352 bits [Y 34.9097 dB    U 43.9895 dB    V 44.9514 dB] [ET     1 ] [L0 82c 80 72 64] [L1]
POC   84 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        488 bits [Y 35.0870 dB    U 43.9630 dB    V 44.7918 dB] [ET     1 ] [L0 83c 80 72 64] [L1]
POC   85 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        424 bits [Y 34.8998 dB    U 43.9194 dB    V 44.7858 dB] [ET     1 ] [L0 84c 80 72 64] [L1]
POC   86 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 39 )        392 bits [Y 34.9007 dB    U 43.7777 dB    V 44.6032 dB] [ET     1 ] [L0 85c 80 72 64] [L1]
POC   87 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 40 )        224 bits [Y 34.7744 dB    U 43.7871 dB    V 44.6362 dB] [ET     0 ] [L0 86c 80 72 64] [L1]
POC   88 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 33 )        984 bits [Y 35.7458 dB    U 44.0250 dB    V 44.8506 dB] [ET     1 ] [L0 87c 80 72 64] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	89           a  14.1326      34.9847  43.7826  44.8910  36.4835  

 finished @ Sun Jun  1 19:50:11 2025
 Total Time:       65.175 sec. [user]       65.175 sec. [elapsed]
