
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:0 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:1 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:1) MRL:1 MIP:0 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:5 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 3(intra) 4(inter) ISPFast:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:2 RPR:0 TemporalFilter:4/0 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 20:00:21 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 51 )      10920 bits [Y 32.8449 dB    U 37.5686 dB    V 38.3338 dB] [ET     6 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        504 bits [Y 31.1225 dB    U 37.3927 dB    V 37.7135 dB] [ET    11 ] [L0 13c 12 8 0] [L1]
POC   15 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        384 bits [Y 30.8122 dB    U 37.3291 dB    V 37.6976 dB] [ET    13 ] [L0 14c 13 8 0] [L1]
POC   16 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 53 )       3176 bits [Y 33.1970 dB    U 37.5749 dB    V 38.2067 dB] [ET    25 ] [L0 15c 14 8 0] [L1]
POC   17 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        312 bits [Y 32.5320 dB    U 37.5186 dB    V 38.1216 dB] [ET     7 ] [L0 16c 15 8 0] [L1]
POC   18 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        384 bits [Y 32.1120 dB    U 37.4796 dB    V 38.1173 dB] [ET     7 ] [L0 17c 16 8 0] [L1]
POC   19 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        336 bits [Y 31.4126 dB    U 37.3867 dB    V 38.0521 dB] [ET     7 ] [L0 18c 16 8 0] [L1]
POC   20 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        608 bits [Y 31.4967 dB    U 37.3787 dB    V 38.0465 dB] [ET     7 ] [L0 19c 16 8 0] [L1]
POC   21 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        280 bits [Y 30.9912 dB    U 37.3657 dB    V 38.0563 dB] [ET     7 ] [L0 20c 16 8 0] [L1]
POC   22 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        680 bits [Y 31.1994 dB    U 37.3602 dB    V 38.0217 dB] [ET     8 ] [L0 21c 16 8 0] [L1]
POC   23 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        472 bits [Y 30.9950 dB    U 37.2808 dB    V 37.9327 dB] [ET     7 ] [L0 22c 16 8 0] [L1]
POC   24 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 53 )       3120 bits [Y 32.9154 dB    U 37.3982 dB    V 38.1663 dB] [ET    17 ] [L0 23c 16 8 0] [L1]
POC   25 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        352 bits [Y 32.1117 dB    U 37.3533 dB    V 38.1557 dB] [ET     7 ] [L0 24c 16 8 0] [L1]
POC   26 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        536 bits [Y 31.8101 dB    U 37.3167 dB    V 38.1280 dB] [ET     7 ] [L0 25c 24 16 8] [L1]
POC   27 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        328 bits [Y 31.2533 dB    U 37.2617 dB    V 38.0508 dB] [ET     7 ] [L0 26c 24 16 8] [L1]
POC   28 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        552 bits [Y 31.1446 dB    U 37.2135 dB    V 37.9876 dB] [ET     7 ] [L0 27c 24 16 8] [L1]
POC   29 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        328 bits [Y 30.8886 dB    U 37.1730 dB    V 37.9234 dB] [ET     7 ] [L0 28c 24 16 8] [L1]
POC   30 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        672 bits [Y 31.1077 dB    U 37.2050 dB    V 37.8953 dB] [ET     7 ] [L0 29c 24 16 8] [L1]
POC   31 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        344 bits [Y 30.8007 dB    U 37.1429 dB    V 37.8244 dB] [ET     7 ] [L0 30c 24 16 8] [L1]
POC   32 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 53 )       2904 bits [Y 32.5932 dB    U 37.3466 dB    V 38.1219 dB] [ET    17 ] [L0 31c 24 16 8] [L1]
POC   33 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        352 bits [Y 32.2414 dB    U 37.3078 dB    V 38.0628 dB] [ET     6 ] [L0 32c 24 16 8] [L1]
POC   34 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        480 bits [Y 32.0383 dB    U 37.2904 dB    V 38.0388 dB] [ET     7 ] [L0 33c 32 24 16] [L1]
POC   35 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        280 bits [Y 31.6973 dB    U 37.2909 dB    V 37.9986 dB] [ET     6 ] [L0 34c 32 24 16] [L1]
POC   36 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        432 bits [Y 31.7320 dB    U 37.2452 dB    V 37.9871 dB] [ET     7 ] [L0 35c 32 24 16] [L1]
POC   37 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        224 bits [Y 31.4138 dB    U 37.2289 dB    V 37.9804 dB] [ET     7 ] [L0 36c 32 24 16] [L1]
POC   38 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 59 )        552 bits [Y 31.7557 dB    U 37.2603 dB    V 38.0069 dB] [ET     7 ] [L0 37c 32 24 16] [L1]
POC   39 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 60 )        280 bits [Y 31.5753 dB    U 37.2364 dB    V 37.9943 dB] [ET     7 ] [L0 38c 32 24 16] [L1]
POC   40 LId:  0 TId: 0 ( TRAIL, P-SLICE, QP 53 )       2192 bits [Y 32.9929 dB    U 37.3509 dB    V 38.1063 dB] [ET    16 ] [L0 39c 32 24 16] [L1]
^C
