
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 
Info: Conformance window automatically enabled. Adding 4 lumal pel horizontally

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:15 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 19:32:47 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 32 )       6816 bits [Y 36.2262 dB    U 43.2839 dB    V 43.4539 dB] [ET     3 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6944 bits [Y 36.1152 dB    U 42.8535 dB    V 43.7256 dB] [ET     3 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6816 bits [Y 36.0112 dB    U 43.3324 dB    V 43.6850 dB] [ET     3 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7032 bits [Y 36.1575 dB    U 43.6191 dB    V 43.5483 dB] [ET     3 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7080 bits [Y 36.1413 dB    U 43.2092 dB    V 43.7298 dB] [ET     3 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7000 bits [Y 36.1126 dB    U 42.8751 dB    V 43.7729 dB] [ET     3 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7136 bits [Y 36.0946 dB    U 43.0864 dB    V 43.6569 dB] [ET     3 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7048 bits [Y 36.0514 dB    U 43.6395 dB    V 43.9264 dB] [ET     3 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7280 bits [Y 36.1277 dB    U 43.2371 dB    V 43.7864 dB] [ET     3 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7024 bits [Y 36.0380 dB    U 43.8127 dB    V 44.0430 dB] [ET     3 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6912 bits [Y 36.0962 dB    U 43.4405 dB    V 43.7629 dB] [ET     3 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6784 bits [Y 36.1147 dB    U 43.1331 dB    V 43.8245 dB] [ET     3 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6824 bits [Y 36.1138 dB    U 43.2548 dB    V 43.4787 dB] [ET     3 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6904 bits [Y 36.1417 dB    U 43.3360 dB    V 43.6399 dB] [ET     3 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6920 bits [Y 36.1896 dB    U 43.1095 dB    V 43.6177 dB] [ET     3 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6832 bits [Y 36.1120 dB    U 43.4497 dB    V 43.5459 dB] [ET     3 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6912 bits [Y 36.1675 dB    U 43.2620 dB    V 43.6744 dB] [ET     3 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6776 bits [Y 36.0856 dB    U 43.0102 dB    V 43.8067 dB] [ET     3 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6784 bits [Y 36.0477 dB    U 43.3851 dB    V 43.9546 dB] [ET     3 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6832 bits [Y 36.1067 dB    U 43.2080 dB    V 43.6130 dB] [ET     3 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6808 bits [Y 36.0890 dB    U 43.2979 dB    V 43.8305 dB] [ET     3 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7192 bits [Y 36.2309 dB    U 43.3142 dB    V 43.6367 dB] [ET     3 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7056 bits [Y 36.1254 dB    U 43.1409 dB    V 44.0744 dB] [ET     3 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7216 bits [Y 36.1841 dB    U 42.7766 dB    V 43.7149 dB] [ET     3 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7144 bits [Y 36.1142 dB    U 43.0365 dB    V 43.7338 dB] [ET     3 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7080 bits [Y 36.0588 dB    U 43.4623 dB    V 43.9800 dB] [ET     3 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6936 bits [Y 35.9934 dB    U 43.3072 dB    V 43.7678 dB] [ET     3 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7096 bits [Y 36.2045 dB    U 43.6908 dB    V 43.6958 dB] [ET     3 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6864 bits [Y 36.1358 dB    U 43.5338 dB    V 43.8604 dB] [ET     3 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6896 bits [Y 36.0814 dB    U 43.4447 dB    V 43.9035 dB] [ET     3 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6848 bits [Y 36.1115 dB    U 43.5086 dB    V 43.8463 dB] [ET     3 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6808 bits [Y 36.0876 dB    U 43.2168 dB    V 43.7765 dB] [ET     3 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6920 bits [Y 36.0745 dB    U 43.3512 dB    V 43.5519 dB] [ET     3 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6920 bits [Y 36.1185 dB    U 43.2543 dB    V 43.7452 dB] [ET     3 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7040 bits [Y 36.0798 dB    U 43.4571 dB    V 43.8465 dB] [ET     3 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7024 bits [Y 36.0119 dB    U 43.3493 dB    V 44.1037 dB] [ET     3 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7016 bits [Y 36.0594 dB    U 43.2095 dB    V 43.8358 dB] [ET     3 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7032 bits [Y 36.0776 dB    U 43.1119 dB    V 43.8976 dB] [ET     3 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6904 bits [Y 36.0490 dB    U 42.8630 dB    V 43.8937 dB] [ET     3 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6984 bits [Y 36.1384 dB    U 43.7276 dB    V 43.9515 dB] [ET     3 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6888 bits [Y 36.1689 dB    U 43.3279 dB    V 44.0969 dB] [ET     3 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6728 bits [Y 36.0851 dB    U 43.5160 dB    V 43.8667 dB] [ET     3 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6976 bits [Y 36.2132 dB    U 43.4945 dB    V 43.8110 dB] [ET     3 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6712 bits [Y 36.0487 dB    U 43.5953 dB    V 44.0925 dB] [ET     3 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6800 bits [Y 36.0437 dB    U 43.3118 dB    V 43.9607 dB] [ET     3 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6944 bits [Y 36.1726 dB    U 43.4014 dB    V 43.7132 dB] [ET     3 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7064 bits [Y 36.2579 dB    U 43.4089 dB    V 43.7698 dB] [ET     3 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6864 bits [Y 36.1892 dB    U 43.3352 dB    V 43.7283 dB] [ET     3 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6648 bits [Y 36.0675 dB    U 42.8423 dB    V 43.4934 dB] [ET     3 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6776 bits [Y 36.1246 dB    U 43.1477 dB    V 43.9498 dB] [ET     3 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6856 bits [Y 36.0752 dB    U 42.8762 dB    V 43.9281 dB] [ET     3 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6800 bits [Y 36.0460 dB    U 43.2132 dB    V 43.7881 dB] [ET     3 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7152 bits [Y 36.1307 dB    U 43.3754 dB    V 43.9172 dB] [ET     3 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7056 bits [Y 36.0595 dB    U 43.4723 dB    V 43.6879 dB] [ET     3 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7088 bits [Y 36.0319 dB    U 43.5560 dB    V 43.8024 dB] [ET     3 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6952 bits [Y 36.0260 dB    U 43.3890 dB    V 43.8452 dB] [ET     3 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7080 bits [Y 36.2650 dB    U 43.7358 dB    V 43.7882 dB] [ET     3 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6904 bits [Y 36.1072 dB    U 43.3195 dB    V 43.4589 dB] [ET     3 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6840 bits [Y 36.0410 dB    U 43.6602 dB    V 43.6776 dB] [ET     3 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6976 bits [Y 36.1000 dB    U 43.4090 dB    V 43.8660 dB] [ET     3 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6744 bits [Y 36.0017 dB    U 43.1982 dB    V 43.7982 dB] [ET     3 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6976 bits [Y 36.1459 dB    U 43.7059 dB    V 43.8140 dB] [ET     3 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7024 bits [Y 36.0714 dB    U 43.4091 dB    V 43.7435 dB] [ET     3 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7064 bits [Y 36.0895 dB    U 43.4911 dB    V 44.1231 dB] [ET     3 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6992 bits [Y 36.0745 dB    U 43.4263 dB    V 44.0636 dB] [ET     3 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       7160 bits [Y 36.0875 dB    U 43.1020 dB    V 44.0250 dB] [ET     3 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6960 bits [Y 36.0689 dB    U 43.5055 dB    V 43.8142 dB] [ET     3 ] [L0] [L1]
POC   81 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6816 bits [Y 36.1206 dB    U 43.4808 dB    V 43.9297 dB] [ET     3 ] [L0] [L1]
POC   82 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6768 bits [Y 36.1528 dB    U 43.0742 dB    V 43.8308 dB] [ET     3 ] [L0] [L1]
POC   83 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6792 bits [Y 36.1429 dB    U 42.9735 dB    V 43.8368 dB] [ET     3 ] [L0] [L1]
POC   84 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6856 bits [Y 36.1937 dB    U 43.4579 dB    V 43.5938 dB] [ET     3 ] [L0] [L1]
POC   85 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6872 bits [Y 36.1828 dB    U 43.1035 dB    V 43.3824 dB] [ET     3 ] [L0] [L1]
POC   86 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6816 bits [Y 36.1749 dB    U 43.3914 dB    V 43.7503 dB] [ET     3 ] [L0] [L1]
POC   87 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6768 bits [Y 36.0682 dB    U 43.5044 dB    V 43.9670 dB] [ET     3 ] [L0] [L1]
POC   88 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )       6896 bits [Y 36.1717 dB    U 43.7879 dB    V 43.9135 dB] [ET     3 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	89           a  173.6067     36.1116  43.2931  43.7994  37.4957  

 finished @ Sun Jun  1 19:37:23 2025
 Total Time:      276.015 sec. [user]      276.016 sec. [elapsed]
