
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 
Info: Conformance window automatically enabled. Adding 4 lumal pel horizontally

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:15 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 19:38:56 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 50 )       1184 bits [Y 28.2905 dB    U 38.0940 dB    V 40.2108 dB] [ET     1 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1168 bits [Y 27.9734 dB    U 39.1913 dB    V 40.2372 dB] [ET     1 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 28.2344 dB    U 39.2087 dB    V 40.1781 dB] [ET     1 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1192 bits [Y 28.1211 dB    U 39.2160 dB    V 40.2279 dB] [ET     1 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 28.0264 dB    U 39.2159 dB    V 40.3155 dB] [ET     1 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1216 bits [Y 27.6853 dB    U 39.2347 dB    V 40.2855 dB] [ET     1 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 27.5053 dB    U 39.2541 dB    V 40.3064 dB] [ET     1 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1232 bits [Y 27.8390 dB    U 39.4007 dB    V 40.2883 dB] [ET     1 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 27.7828 dB    U 39.1640 dB    V 40.2843 dB] [ET     1 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1160 bits [Y 27.9631 dB    U 39.1847 dB    V 40.2710 dB] [ET     1 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1160 bits [Y 27.8575 dB    U 39.1059 dB    V 40.2569 dB] [ET     1 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1152 bits [Y 27.8128 dB    U 38.2630 dB    V 40.1964 dB] [ET     1 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 28.1729 dB    U 38.2671 dB    V 40.2597 dB] [ET     1 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1152 bits [Y 27.9650 dB    U 38.0402 dB    V 40.1624 dB] [ET     1 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1144 bits [Y 28.0856 dB    U 38.0782 dB    V 40.1478 dB] [ET     1 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1152 bits [Y 28.1009 dB    U 38.0150 dB    V 40.1359 dB] [ET     1 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 28.2492 dB    U 38.0116 dB    V 40.1509 dB] [ET     1 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1216 bits [Y 28.1994 dB    U 38.0118 dB    V 40.2017 dB] [ET     1 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1176 bits [Y 27.9111 dB    U 37.9321 dB    V 40.2507 dB] [ET     1 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1256 bits [Y 28.3909 dB    U 38.2568 dB    V 40.3229 dB] [ET     1 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1224 bits [Y 28.0242 dB    U 39.4069 dB    V 40.3249 dB] [ET     1 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1168 bits [Y 27.8355 dB    U 39.2054 dB    V 40.3291 dB] [ET     1 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1232 bits [Y 27.9658 dB    U 39.1705 dB    V 40.2503 dB] [ET     1 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 27.6631 dB    U 39.2209 dB    V 40.3389 dB] [ET     1 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1224 bits [Y 27.7310 dB    U 39.2304 dB    V 40.2706 dB] [ET     1 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1232 bits [Y 27.8249 dB    U 39.2338 dB    V 40.3542 dB] [ET     1 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1240 bits [Y 28.0070 dB    U 39.3082 dB    V 40.3282 dB] [ET     1 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1184 bits [Y 27.8875 dB    U 39.2998 dB    V 40.3497 dB] [ET     1 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1192 bits [Y 27.9622 dB    U 39.3045 dB    V 40.2695 dB] [ET     1 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1176 bits [Y 28.0038 dB    U 39.3542 dB    V 40.3481 dB] [ET     1 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1224 bits [Y 28.0357 dB    U 39.3082 dB    V 40.3062 dB] [ET     1 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1160 bits [Y 27.8223 dB    U 39.2769 dB    V 40.2527 dB] [ET     1 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1216 bits [Y 28.0231 dB    U 39.3033 dB    V 40.3058 dB] [ET     1 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1216 bits [Y 27.7176 dB    U 39.2788 dB    V 40.3172 dB] [ET     1 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1192 bits [Y 27.7358 dB    U 39.2503 dB    V 40.3952 dB] [ET     1 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1240 bits [Y 27.7690 dB    U 39.2367 dB    V 40.4167 dB] [ET     1 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1232 bits [Y 27.9287 dB    U 39.2440 dB    V 40.3887 dB] [ET     1 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1176 bits [Y 27.7737 dB    U 39.2097 dB    V 40.3409 dB] [ET     1 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 28.1034 dB    U 39.2226 dB    V 40.3076 dB] [ET     1 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 28.1057 dB    U 39.2245 dB    V 40.3123 dB] [ET     1 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1176 bits [Y 27.8615 dB    U 38.0646 dB    V 40.2931 dB] [ET     1 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1152 bits [Y 27.9938 dB    U 38.0023 dB    V 40.2792 dB] [ET     1 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1168 bits [Y 28.2153 dB    U 38.1219 dB    V 40.2537 dB] [ET     1 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1184 bits [Y 28.2868 dB    U 38.0998 dB    V 40.2128 dB] [ET     1 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1136 bits [Y 27.7119 dB    U 38.1022 dB    V 40.2407 dB] [ET     1 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1136 bits [Y 27.6706 dB    U 37.9662 dB    V 40.2146 dB] [ET     1 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1184 bits [Y 27.9766 dB    U 37.7838 dB    V 40.2390 dB] [ET     1 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1160 bits [Y 27.8132 dB    U 38.0178 dB    V 40.2979 dB] [ET     1 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1184 bits [Y 27.6821 dB    U 39.2355 dB    V 40.3164 dB] [ET     1 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1168 bits [Y 27.7737 dB    U 39.1889 dB    V 40.3655 dB] [ET     1 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1232 bits [Y 27.8409 dB    U 39.1876 dB    V 40.3512 dB] [ET     1 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1192 bits [Y 27.6764 dB    U 39.2475 dB    V 40.3021 dB] [ET     1 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1240 bits [Y 27.8862 dB    U 39.2696 dB    V 40.3098 dB] [ET     1 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1232 bits [Y 27.7160 dB    U 39.2183 dB    V 40.2967 dB] [ET     1 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 27.8730 dB    U 39.3306 dB    V 40.3660 dB] [ET     1 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 28.0585 dB    U 39.3147 dB    V 40.3345 dB] [ET     1 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1216 bits [Y 28.0906 dB    U 39.3195 dB    V 40.3155 dB] [ET     1 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1176 bits [Y 27.9355 dB    U 38.2424 dB    V 40.2562 dB] [ET     1 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1216 bits [Y 28.1725 dB    U 39.3096 dB    V 40.3641 dB] [ET     1 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 28.3245 dB    U 39.2821 dB    V 40.3021 dB] [ET     1 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1224 bits [Y 28.0206 dB    U 39.3200 dB    V 40.3023 dB] [ET     1 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 27.9074 dB    U 39.3281 dB    V 40.3761 dB] [ET     1 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1216 bits [Y 27.8046 dB    U 39.2839 dB    V 40.4080 dB] [ET     1 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1248 bits [Y 27.7970 dB    U 39.2603 dB    V 40.3716 dB] [ET     1 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1224 bits [Y 27.7756 dB    U 39.2523 dB    V 40.3871 dB] [ET     1 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1144 bits [Y 27.7091 dB    U 39.2138 dB    V 40.3328 dB] [ET     1 ] [L0] [L1]
POC   81 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1160 bits [Y 27.9187 dB    U 39.1488 dB    V 40.3083 dB] [ET     1 ] [L0] [L1]
POC   82 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1176 bits [Y 28.1004 dB    U 37.7276 dB    V 40.3152 dB] [ET     1 ] [L0] [L1]
POC   83 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1224 bits [Y 28.2199 dB    U 38.0446 dB    V 40.3019 dB] [ET     1 ] [L0] [L1]
POC   84 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1184 bits [Y 28.0606 dB    U 37.6956 dB    V 40.2485 dB] [ET     1 ] [L0] [L1]
POC   85 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1168 bits [Y 27.8924 dB    U 38.1576 dB    V 40.2592 dB] [ET     1 ] [L0] [L1]
POC   86 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1168 bits [Y 28.1592 dB    U 38.2913 dB    V 40.2162 dB] [ET     1 ] [L0] [L1]
POC   87 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1184 bits [Y 28.2492 dB    U 38.1428 dB    V 40.2493 dB] [ET     1 ] [L0] [L1]
POC   88 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1160 bits [Y 27.8112 dB    U 38.1387 dB    V 40.2501 dB] [ET     1 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	89           a  29.9124      27.9483  38.8277  40.2837  29.5544  

 finished @ Sun Jun  1 19:39:49 2025
 Total Time:       52.355 sec. [user]       52.356 sec. [elapsed]
